title,price,mileage,fuel,hp,type,region,is_amg,color,age
"mercedes-benz gle 350d, coupe, amg-56000км-pano, key-go, dist, night",139990,56000,diesel,272.0,coupe,plovdiv,1,black,4
mercedes-benz gle 400d amg line,155780,35500,diesel,330.0,jeep,stara zagora,1,white,3
mercedes-benz gle 250 cdi топ цена,33999,210000,diesel,204.0,jeep,plovdiv,0,black,8
mercedes-benz gle 250 d* 9g-tronik* 360 cam*,42800,135000,diesel,204.0,jeep,dupnitsa,0,dark gray,9
mercedes-benz gle 250 4-matic.amg line,49999,165000,diesel,204.0,jeep,sofia,1,black,9
mercedes-benz gle 250 4matic premium plus,51940,201731,diesel,204.0,jeep,kyustendil,0,dark gray,6
mercedes-benz gle 250 9g/4matik/panorama/led,52988,161235,diesel,204.0,jeep,stara zagora,0,black,7
mercedes-benz gle 250 d  204ps sport 9g * перфектен*,57900,177058,diesel,204.0,jeep,sliven,0,white,7
mercedes-benz gle 350 d amg pack 9g tronik,47500,175000,diesel,258.0,jeep,plovdiv,1,black,9
mercedes-benz gle 350 d 4 matic,48500,197038,diesel,258.0,jeep,sofia,0,white,9
mercedes-benz gle 350 3.5cdi* 258* k.c-4motion* kamera navi*,48777,217000,diesel,258.0,jeep,stara zagora,0,white,10
mercedes-benz gle 350 9g/harman kardon/панорама/подгрев/360,49999,210000,diesel,258.0,jeep,sofia,0,white,8
mercedes-benz gle 350 реални км!!!,51999,160000,diesel,258.0,jeep,sofia,0,black,9
mercedes-benz gle 350 amg/distronic/360camera/softclose/4matic/,52900,207759,diesel,258.0,jeep,pazardzhik,1,black,9
mercedes-benz gle 350 bluetec amg line ! 4matic ! swiss !,52900,199500,diesel,258.0,jeep,sofia,1,gray,9
mercedes-benz gle 350 бартер* amg* панорама* distronik,56900,199000,diesel,258.0,coupe,ruse,1,white,9
mercedes-benz gle 350 amg панорама distronic 360 камери airmatic,57000,150600,diesel,258.0,jeep,sliven,1,gray,8
mercedes-benz gle 350 4 matic,57900,243000,diesel,258.0,jeep,sofia,0,red,9
mercedes-benz gle 350 amg 4matic 9g tronic premuim,58499,218500,diesel,258.0,jeep,sofia,1,black,7
mercedes-benz gle 350,58500,56000,gasoline,306.0,jeep,smolyan,0,white,10
mercedes-benz gle 350 amg 258hp e6,59990,185318,diesel,258.0,jeep,pernik,1,black,10
mercedes-benz gle 350 amg package немска! регистриран!,59999,185500,diesel,258.0,jeep,plovdiv,1,white,9
mercedes-benz gle 350 cdi amg-paket панорама 360 4-matic,59999,176393,diesel,258.0,jeep,haskovo,1,white,6
mercedes-benz gle 350 coupe,63000,284000,diesel,245.0,coupe,sofia,0,black,9
mercedes-benz gle 350  gle 350d v6 (258 кс) 4matic 9g-tronic,63000,183110,diesel,258.0,jeep,burgas,0,blue,9
mercedes-benz gle 350 очакван внос gle350d coupe amg-night pano cam-360,63880,240000,diesel,258.0,coupe,sofia,1,white,10
mercedes-benz gle 350 лизинг,64999,188000,diesel,258.0,jeep,blagoevgrad,0,black,10
mercedes-benz gle 350 amg пакет,65000,253000,diesel,258.0,jeep,sofia,1,dark gray,8
mercedes-benz gle 350 d coupe 6.3 amg optic 9g pano 360 h/k key go,66900,167000,diesel,258.0,coupe,sofia,1,dark gray,8
mercedes-benz gle 350 ///amg packet///360///вакуум///pano///navi///dvd//,68990,203000,diesel,258.0,jeep,plovdiv,1,red,9
mercedes-benz gle 350 amg* 360* harman/kardon* full*,68990,238422,diesel,258.0,coupe,plovdiv,1,white,9
mercedes-benz gle 350 amg* 360* harman/kardon* full*,68990,238422,diesel,258.0,jeep,plovdiv,1,white,9
mercedes-benz gle 350 4-matic* 9g* camera* distronic* печка,69000,230000,diesel,258.0,jeep,ruse,0,light gray,9
mercedes-benz gle 350 amg/designo/distronic/360 kameri,69699,164000,diesel,258.0,jeep,sofia,1,blue,8
mercedes-benz gle 350 amg line* coupe* 4-matic* 9g-tronic* лизинг,69900,180879,diesel,258.0,coupe,sofia,1,white,8
mercedes-benz gle 350 coupe-amg-panorama-360 kamera,69900,123000,diesel,258.0,coupe,pleven,1,black,7
mercedes-benz gle 350 amg,69999,179000,diesel,258.0,jeep,varna,1,black,9
mercedes-benz gle 350 cdi/sport/камера360/обдухване/airmatic/coupe,71900,215500,diesel,258.0,coupe,varna,0,black,8
mercedes-benz gle 350 d coupe 4m amg* nightp* подгрев* distr,71900,113000,diesel,258.0,coupe,sofia,1,black,8
mercedes-benz gle 350 cdi/sport/камера360/обдухване/airmatic/coupe,71900,215500,diesel,258.0,coupe,sofia,0,black,8
mercedes-benz gle 350 amg line/4matic,72900,98300,diesel,258.0,jeep,sofia,1,gray,9
mercedes-benz gle 350 coupe amg 4matic panо обдухване подгрев 360 h/k,72900,153788,diesel,258.0,coupe,plovdiv,1,white,9
mercedes-benz gle 350 amg /f1/готов лизинг,73800,188000,diesel,258.0,coupe,sofia,1,gray,9
mercedes-benz gle 350,61999,216000,diesel,258.0,jeep,sofia,0,dark gray,9
mercedes-benz gle 350 gle 350 amg/4matic/rse/harman/камера/подгрев,74900,197000,diesel,258.0,coupe,varna,1,dark gray,10
mercedes-benz gle 350 amg/4matic/rse/harman/камера/подгрев,74900,197000,diesel,258.0,coupe,sofia,1,dark gray,10
mercedes-benz gle 350 amg/navi/360camera/вакуум/harman kardon/,74900,190000,diesel,258.0,jeep,sofia,1,white,9
mercedes-benz gle 350 coupe= 3.0cdi-258кс= 9g-tronic= 360камера= air,75900,185000,diesel,258.0,coupe,sliven,0,black,8
mercedes-benz gle 350 cdi 4-matic * coupe* 86500 км. топ състояние !,76800,86509,diesel,258.0,coupe,sofia,0,white,8
mercedes-benz gle 350 4matic - amg - 272к.с.,79000,192000,diesel,272.0,jeep,pleven,1,green,5
mercedes-benz gle 350 coupe 9g 4matic amg,88500,105000,diesel,258.0,coupe,haskovo,1,white,6
mercedes-benz gle 350 2.0 4matic,96000,85000,gasoline,258.0,jeep,sliven,0,blue,5
mercedes-benz gle 350 gle 350* amg line* v6* 4matic* 9gtronic* 6+ 1,82000,139000,diesel,272.0,jeep,sofia,1,blue,6
mercedes-benz gle 350 amg line night пакет burmester 360,99000,149000,diesel,275.0,jeep,sofia,1,dark gray,6
mercedes-benz gle 350 de plug-in хибрид,104890,102000,plug-in hybrid,320.0,jeep,sofia,0,black,4
mercedes-benz gle 350 de * гаранция до 09.2026г*,112900,90000,plug-in hybrid,320.0,jeep,sofia,0,white,4
mercedes-benz gle 350 3.0 v6 * 2 x amg* досие в силвър стар* 84 000км.,117000,83717,diesel,272.0,jeep,burgas,1,black,5
"mercedes-benz gle 350 gle 350d amg | топ състояние | 55, 000 км | няма д",97998,55000,diesel,272.0,jeep,pleven,1,gray,6
mercedes-benz gle 350 coupe * amg* pano* burmester* 360cam* head-up,122000,239000,diesel,272.0,coupe,plovdiv,1,dark gray,4
mercedes-benz gle 350 amg premium coupe,123000,113000,diesel,272.0,coupe,shumen,1,green,4
mercedes-benz gle 350 300d amg,113400,40389,hybrid,272.0,jeep,varna,1,white,2
mercedes-benz gle 350 e/coupe/4matic/burmester/ambient/virtual,119900,92500,plug-in hybrid,333.0,coupe,varna,0,white,3
mercedes-benz gle 350 amg/4matic/virtual/ambient,149900,74000,diesel,272.0,jeep,varna,1,white,5
mercedes-benz gle 350 4matic,149900,14500,gasoline,255.0,jeep,sofia,0,white,1
mercedes-benz gle 350 amg,149999,39000,diesel,272.0,jeep,sofia,1,black,4
mercedes-benz gle 400 очакван внос gle400 amg pano cam360 hud exclusive,49880,190000,gasoline,333.0,jeep,sofia,1,white,9
mercedes-benz gle 400 amg 9g-tronic 4matic,53500,171000,gasoline,333.0,jeep,sofia,1,black,7
"mercedes-benz gle 400 amg line, 9g- tronic, i larman/kardon, keyle",58999,93000,gasoline,330.0,jeep,plovdiv,1,blue,6
mercedes-benz gle 400,62000,120000,gasoline,333.0,jeep,sofia,0,white,7
mercedes-benz gle 400 бартер,65660,151326,gasoline,333.0,jeep,vratsa,0,white,7
mercedes-benz gle 400 coupe/9g/4matic лизинг без доказване на доходи,84999,100209,gasoline,333.0,coupe,sofia,0,black,9
mercedes-benz gle 400 d 9g-tronic amg line,119500,190359,diesel,330.0,jeep,sofia,1,black,3
mercedes-benz gle 400 d/coupe/amg line/4matic/nitght package/burmaster,121121,191000,diesel,330.0,coupe,gabrovo,1,dark gray,4
mercedes-benz gle 400  amg line,140140,63715,diesel,330.0,jeep,shumen,1,green,5
"mercedes-benz gle 400 coupe amg line, distronic, led, 4matic",144000,125000,diesel,330.0,coupe,plovdiv,1,black,5
mercedes-benz gle 400 4 matic* premium plus packet* amg-line,149900,78000,diesel,330.0,jeep,veliko tarnovo,1,white,4
mercedes-benz gle 400 coupe,168500,35000,diesel,330.0,coupe,stara zagora,0,white,3
mercedes-benz gle 400 d 4matic,160000,51573,diesel,330.0,jeep,ruse,0,dark gray,2
mercedes-benz gle 43 amg biturbo 4matic,59999,122000,gasoline,390.0,jeep,sofia,1,gray,7
mercedes-benz gle 43 amg top,66999,126000,gasoline,367.0,jeep,sofia,1,black,9
mercedes-benz gle 43 amg coupe 43 amg/133911км,72500,130000,gasoline,367.0,coupe,sofia,1,black,8
mercedes-benz gle 450 amg optik 4matic,74999,134000,gasoline,367.0,jeep,shumen,1,red,9
mercedes-benz gle 450,79900,55500,gasoline,367.0,jeep,sofia,0,gray,5
mercedes-benz gle 450 4m/hud/pano/burmester,86238,112000,diesel,367.0,jeep,sofia,0,gray,5
mercedes-benz gle 450 -amg line-mild hybrid-panorama-keyless-6+ 1-,91700,129000,gasoline,367.0,jeep,plovdiv,1,white,5
mercedes-benz gle 450 gle450 amg-line топ,103999,108000,gasoline,367.0,jeep,pazardzhik,1,black,6
mercedes-benz gle 450 * 4 matic * 6 + 1 * burmeister,103900,87000,gasoline,367.0,jeep,varna,0,black,5
mercedes-benz gle 450 4matic eq boost,115000,54000,gasoline,367.0,jeep,sofia,0,silver,5
mercedes-benz gle 450 d/coupe/amg-line/burmester/pano,169900,35000,diesel,367.0,coupe,varna,1,dark gray,1
mercedes-benz gle 450 d/coupe/amg-line/burmester/pano/hud,169900,35000,diesel,367.0,coupe,sofia,1,dark gray,1
mercedes-benz gle 450 d/4m/amg-line/burmester/pano,169900,18500,diesel,367.0,jeep,sofia,1,gray,1
mercedes-benz gle 450 full екстри * burmeister * amg * head up * панорам,207900,12000,diesel,368.0,jeep,varna,1,gray,1
mercedes-benz gle 450 amg  367 ps panorama 130000km!!!,69999,130000,gasoline,367.0,jeep,sofia,1,silver,9
mercedes-benz gle 450 amg amg/4matic/hud/обдухване/панорама/6+ 1,114900,87000,gasoline,367.0,jeep,sofia,1,dark gray,6
mercedes-benz gle 500 amg line 4matic hybrid,48800,235000,gasoline,333.0,jeep,sofia,1,black,8
mercedes-benz gle 500 4matic/amg pack/massage/360,66977,119610,gasoline,455.0,jeep,plovdiv,1,gray,9
mercedes-benz gle 500 e amg plug-in hybrid 4matic швейцария,66999,189000,plug-in hybrid,442.0,jeep,sofia,1,black,9
mercedes-benz gle 500 е amg plug-in hybrid 4matic швейцария,66999,189000,gasoline,449.0,jeep,sofia,1,black,9
mercedes-benz gle 500 amg/headup/harman/360cam/455к.с./113000km,76000,113000,gasoline,455.0,jeep,sofia,1,blue,9
mercedes-benz gle 53 4matic amg full!!!,146800,57000,gasoline,435.0,jeep,plovdiv,1,white,4
mercedes-benz gle 53 4matic amg,146900,56000,gasoline,435.0,jeep,plovdiv,1,white,4
mercedes-benz gle 53 4matic amg 4m* hud* burmester* pano* night* 360,131318,87484,gasoline,435.0,jeep,sofia,1,white,6
mercedes-benz gle 53 4matic coupe,160000,136000,gasoline,435.0,coupe,sofia,0,black,5
mercedes-benz gle 53 4matic amg 435hp,162680,87010,gasoline,435.0,jeep,pernik,1,white,4
mercedes-benz gle 53 4matic coupe* night* hud* massage* burmester* pano* 22,167000,65000,gasoline,435.0,coupe,sofia,0,black,5
mercedes-benz gle 53 4matic amg/burmester/hud/pano/обдухване/multibeam led/360,149900,94000,gasoline,457.0,coupe,sofia,1,black,5
"mercedes-benz gle 53 4matic gle 53 amg, гаранция, head up display, burmester",182900,31400,gasoline,435.0,jeep,sofia,1,blue,2
mercedes-benz gle 53 4matic +  coupe amg facelift,195999,70,gasoline,455.0,coupe,sofia,1,blue,0
mercedes-benz gle 580 4m amg 360 hed up,165000,19000,gasoline,489.0,jeep,pernik,1,white,3
mercedes-benz gle 63 s amg,67000,83000,gasoline,585.0,jeep,sofia,1,gray,8
mercedes-benz gle 63 s amg barter#leasing,89500,125000,gasoline,600.0,jeep,shumen,1,black,8
mercedes-benz gle 63 s amg,90000,186000,gasoline,585.0,jeep,sofia,1,black,8
mercedes-benz gle 63 s amg full top,94999,108900,gasoline,600.0,jeep,sofia,1,gray,8
mercedes-benz gle 63 s amg coupe night package/ carbon/ alcantara full full,99000,142954,gasoline,585.0,coupe,blagoevgrad,1,black,9
mercedes-benz gle 63 s amg 4matic/bang&olufsen/обдухване/камера/side assist,99800,132500,gasoline,585.0,jeep,varna,1,white,10
mercedes-benz gle 63 s amg 5.5i 558hp v8 biturbo,99990,181175,gasoline,558.0,jeep,pernik,1,black,9
mercedes-benz gle 63 s amg b&o / karbon /3 tv/alkatar/top,102500,122000,gasoline,585.0,jeep,blagoevgrad,1,gray,9
mercedes-benz gle 63 s amg,124900,85000,gasoline,585.0,jeep,sofia,1,white,10
mercedes-benz gle 63 s amg full!!!,129999,102500,gasoline,585.0,coupe,kardzhali,1,black,7
mercedes-benz gle 63 s amg 4matic+  лизинг промо цена до 15.02,169888,78235,gasoline,612.0,jeep,sofia,1,black,4
mercedes-benz gle 63 s amg 4m+ exclusive* night* carbon* burm* pano,149000,85000,gasoline,612.0,jeep,blagoevgrad,1,white,3
mercedes-benz gle 63 s amg coupe#designo#softcl#disr#oбдух#pano#burm,189999,100000,gasoline,612.0,coupe,stara zagora,1,black,4
mercedes-benz gle 63 s amg coupe/4m/burm4d/carbon/head-up/eq boost/full!!!,196500,68000,gasoline,612.0,coupe,blagoevgrad,1,white,4
mercedes-benz gle 63 s amg 4m+ exclusive* facelift*  carbon* burm* pano,180000,41657,gasoline,612.0,jeep,sofia,1,green,4
mercedes-benz gle coupe amg optic+ 4matic+ 9gtronic+ камера+ кожа,57000,229233,diesel,258.0,coupe,sofia,1,gray,9
mercedes-benz gle coupe 350/amg,62900,151221,diesel,258.0,coupe,pazardzhik,1,white,10
mercedes-benz gle coupe 350d/4matic/amg/258hp,66000,217455,diesel,258.0,coupe,sofia,1,silver,9
mercedes-benz gle coupe 350 cdi 6.3 amg optic 9g pano 360 h/k key go 21,66900,167000,diesel,258.0,coupe,sofia,1,dark gray,8
mercedes-benz gle coupe amg/distronic/360camera/keyless/top/,67900,178879,diesel,258.0,coupe,pazardzhik,1,red,8
mercedes-benz gle coupe 350d 4matic amg,67999,177000,diesel,258.0,coupe,sofia,1,black,9
mercedes-benz gle coupe 350d amg pack,67999,200000,diesel,258.0,coupe,sofia,1,black,10
mercedes-benz gle coupe 350 4matik amg panorama,69900,123000,diesel,258.0,coupe,pleven,1,black,7
mercedes-benz gle coupe,69999,220405,diesel,286.0,coupe,veliko tarnovo,0,black,9
mercedes-benz gle coupe 350d* amg* 4matic* 360* camera* distronic*,86990,130460,diesel,258.0,coupe,kardzhali,1,black,9
mercedes-benz gle coupe de,95000,76700,plug-in hybrid,347.0,coupe,sofia,0,black,4
mercedes-benz gle coupe 400d - amg - burmester - панорама - head up,110000,186000,diesel,330.0,coupe,pleven,1,black,5
mercedes-benz gle coupe 53 amg,149999,78000,gasoline,435.0,coupe,plovdiv,1,black,4
mercedes-benz gle coupe 400d * full екстри * панорама * burmeister * amg,169900,19000,diesel,326.0,coupe,varna,1,black,2
mercedes-benz gle 350d amg package,46990,184000,diesel,258.0,jeep,stara zagora,1,white,9
mercedes-benz gle unikalen,49000,280000,diesel,260.0,jeep,kardzhali,0,black,8
mercedes-benz gle 3.5 d coupe 315к.с,69500,179123,diesel,315.0,coupe,plovdiv,0,black,10
mercedes-benz gle 350d coupe 4matic amg-line,69999,187000,diesel,258.0,coupe,sofia,1,white,9
mercedes-benz gle 550e,75000,75000,plug-in hybrid,450.0,jeep,razgrad,0,black,7
mercedes-benz gle 43 amg coupe панорама дистр.head-up keyless cam360,78990,127000,gasoline,367.0,coupe,sofia,1,blue,8
mercedes-benz gle 500e hybrid,80000,180000,hybrid,333.0,jeep,vratsa,0,black,9
mercedes-benz gle,85000,198000,diesel,272.0,jeep,smolyan,0,black,6
mercedes-benz gle 300 d 4 matic,89000,183000,diesel,245.0,jeep,veliko tarnovo,0,white,5
mercedes-benz gle 350 4matic full 6.3 amg pack,90000,183000,diesel,258.0,coupe,dobrich,1,white,9
mercedes-benz gle 300d* 4 matic* pano*,104700,109000,diesel,245.0,jeep,sofia,0,dark gray,4
mercedes-benz gle 300d 4m * гаранция * 7-местен pano 360 печка,109900,88000,diesel,245.0,jeep,sofia,0,black,5
mercedes-benz gle 350d 4matic 6+ 1,95000,209000,diesel,272.0,jeep,ruse,0,white,4
mercedes-benz gle 300d 4matic amg line,97999,131,diesel,243.0,jeep,sofia,1,black,5
mercedes-benz gle 300d 4 matic,119900,87664,diesel,245.0,jeep,veliko tarnovo,0,white,4
mercedes-benz gle 300d,119900,151900,diesel,272.0,jeep,sofia,0,white,4
mercedes-benz gle 450  450 4matic amg line,129570,54500,gasoline,367.0,jeep,stara zagora,1,gray,5
mercedes-benz gle 300d amg paket 6+ 1,108000,67000,diesel,245.0,jeep,vratsa,1,beige,6
mercedes-benz gle 300d mild hybrid 7 местен гаранция до 15.03.2028,114600,61600,diesel,272.0,jeep,plovdiv,0,gray,2
